name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
T HOOG TWISSEVELD ROCHUS,GELDING ,2001,BAY,,-,-,NED42375,528210000522295 A,-,J.H.M VAN KASTEREN,BEUKENHOF'S JORDY,T HOOG TWISSE VELD NICOLETTE,
,,,,,,,,,,,,,
1BOY,GELDING ,1987,GREY,,,,DEN01529,,-,,,,
,,,,,,,,,,,,,
1.ST CLASS PRINCE ALBERT,Stallion ,2000,DARK BAY,,NEW FOREST,208333200003162A,DEN40833,,-,HENRIK LIDSMOES,MISTER MALTHE,TOOTSIE'S SHIMARA,
,,,,,,,,,,,,,
4 SOX,GELDING,2000,BLACK,,WELSH SECTION D,826069000127712A,GBR42639,,-,DR CAROL GREEN - IRS,-,-,
,,,,,,,,,,,,,
730,Stallion ,2013,BAY,,CRUZ,724901021081535A,107WR38,724019010023077 A,-,AZIENDA AGRICOLA NUOVI ORIZZONTI DI FABIO ORTOLANI,,,
,,,,,,,,,,,,,
A- MINERVA VAN HET GROENHOF,MARE,2019,GREY,,BWP,056002P00711657,108PA74,967000009976475 A,-,CIARA BUCKLEY,,,
,,,,,,,,,,,,,
A BLACK TIE AFFAIR,Stallion ,2000,BLACK,,ARABIAN,,103CJ39,,JOHN WAYNE SMITH,MUFFY SEATON,BLACKLORD DARKHAN,BELLA NOCHE ,
,,,,,,,,,,,,,
A BOY D'OMAN,GELDING,2010,Other grey,,CONNEMARA,25000110335489X,108PX03,250259805625720 A,-,S.A.R.L. LES ECURIES DE PAYNS,FIDJI RIVER MELODY,NOUGATINE DE L'AUBUIER,
,,,,,,,,,,,,,
A CLEVER BOY,Stallion ,2015,CHESTNUT ,,WESTF,276441410610215A,108PE79,276020000462682 A,-,VERONIKA REITMEIER,A NEW STAR II,,
,,,,,,,,,,,,,
A DANCE IN TIME,MARE,1988,BAY,,ISH,,IRL01700,,MRS EM BURKE,,HOROS,BEDSOCKS,
,,,,,,,,,,,,,
A DASH OF CLASS,GELDING,1992,OTHER PIEBALD,,ISH,,IRL02364,,-,MARGARETA LARSSON,,,
,,,,,,,,,,,,,
A FIRE'STAR,GELDING,2019,BAY GRIS,,KWPN,056002P00711588,109DQ22,981100004670486 A,NICOLE DESCHUYETTE,NICOLE DESCHUYETTE,ICE AND FIRE D'ALBRAN,INDIA'S STAR D'ENFER,
,,,,,,,,,,,,,
A GOOD HEART,MARE,2017,BAY,,SWB,752004041702334A,109BQ24,752098100847664 A,MARIA FLORIN,ANNA FLORIN & CHARLOTTE THELIN,,,
,,,,,,,,,,,,,
A KIND OF CHAMPION ,GELDING,2019,Other Rappisabell (Smoky Black),,WESTF,276441410183219A,109DH70,276020000563954A,WALTER U.HEIDI BERGMAN,COHORSES COMMV,A KIND OF MAGIC,CHERCHEZ LA FEMME,
,,,,,,,,,,,,,
A L'OUEST CALLARED,MARE,2010,CHESTNUT ,,PONY FRANCAIS DE SELLE,25000110321027R,106TQ58,250259700392349A,-,LEATITIA HERRY,DON JUVAN V*HN,EXTASY DE LONDFOR,
,,,,,,,,,,,,,
A LITTLE LIBERTY ,GELDING,1998,CHESTNUT ,,GERMAN RIDING PONY,,SWE40068,,,EMMA MÜNTZIG,AQUAVIT N,SAGA,
,,,,,,,,,,,,,
A M MAISARA,MARE,2005,GREY,,-,,103MP58,,,A. MUTALIB BIN ISMAIL,,,
,,,,,,,,,,,,,
